likes,cleaned_text
9562,happening now over 1000 trade unionists simultaneously shut down 4 uk arms factories which help produce israeli fighter jets being used to bombard gaza over 600 people blockading 3 entrances at bournemouth factory hundreds of others in glasgow lancashire brighton
0,there are videos of idf muslims officers being honored by israelis after october 7 massacre the muslims in israel are treated better than those in gaza
0,they dont want to defeat hamas they want to conquer gaza and incorporate it into their state its obvious they dont hide it you are a supporter of genocide you are campaigning for trump and dictatorship in the united states have a little shame
0,imagine doing everything possible to have baby then once finally there u lost him in seconds by the occupations hysterical bombing israelinewnazism gaza_genocide stoparmingisrael israel
141,why does israel have to win in gaza because israel is the promise to the jewish people that they will never again be defeated neveragainisnow
15568,61 days we screamed and no one answered your silence is deafening i strongly condemn your silence dont stop talking about gaza
67342,our friend refaat is no longer alive gaza
4606,they dehumanised palestinian men but they dont show you that palestinian men are digging under the rubble with their own hands to save people that palestinian men are caring for injured babies across gaza and that palestinian men are praying and singing amidst their suffering
43383,gazas archives are gone these archives documented a history deeply rooted long before immigrants from eastern europe arrived in our country
50157,shejaiya is in the east of gaza city khan younis is a city inside the strip at least before you lie just try to know about gaza strip places these are civilians from the north of gaza strip
8,allahs plan psl9 psl2024 naseemshah babarazam babarazam𓃵 psl9draft ahmadshahzad ausvpak ausvspak pakvaus pakvsaus rizwan shanmasood shan not out ayesha omer gaza fcklive
67904,the democratic party and biden are responsible for the gaza genocide perpetrated by israel
1018,fake news those are not hamas members the iof have captured 100 unarmed displaced civilians from their shelters in the schools northern gaza and forced them to take their clothes off threatens them of executing them plus the continuous abuse gaza gaza_genocide ceasefireforgazanow gazaholoucast
81,refaat alareer palestinian writer posted this days ago if i get killed by israeli bombs or my family is harmed i blame bari weiss and her likes he was murdered along with his family yesterday he was one of the best academics and strongest voices from gaza
9586,the moment aljazeera journalist momen alsharafi breaks the news that his entire family of 21 members were just killed in an israeli airstrike in gaza the look he gives as he is no longer able to talk is heartbreaking
2799,i spoke with king abdullah ii of jordan today to discuss the latest developments in gaza reiterating my commitment to increasing the delivery of humanitarian assistance to palestinian civilians in gaza we agreed we cannot stop working together towards a durable sustainable peace in the middle east
1822,us officials this is a targeted operation and the idf takes every feasible precaution to prevent civilian casualties israeli soldier writes to the people of gaza with love on bombs to be dropped on refugee camps
54702,this photo needs to be the front page of every news paper in the world people at un distribution points 22 million people are food insecure people are dying from bombs and soon many will die from consequences of the siege imposed on gaza dont stop talking about gaza
28760,women in gaza dont have sanitary pads or formula to feed their babies women doctors and journalists are being killed young women students dont have universities anymore pregnant women are being bombed but really happy for these girl bosses
29126,nowhere is safe in gaza nowhere is safe in gaza nowhere is safe in gaza keep pushing for a ceasefire dont stop talking about gaza
9134,weird how everyone in gaza whos in a position to effectively communicate and demonstrate what israel is doing keeps dying probably just a coincidence
862,a short while ago the israeli occupation forces kidnapped more than 100 unarmed palestinians in front of their children and women from a school for displaced people in the northern gaza strip took them to an open area executed them in cold blood one after the other and threw them into a pit among them are children as young as 15 years old israelisisis
29006,ive just learned that dr refaat alareer along with several family members has been murdered in an israeli airstrike im in tears and sick to my stomach as i write this i had the great honor to spend time with refaat during my time in gaza including harvesting olives with him in 2015 in his home neighborhood of shujaiya i visited him in the islamic university of gaza where he used englishlanguage literature and poetry to teach his students the difference between judaism and zionism equipping them with the mental tools to resist zionist propaganda that seeks to conflate the two refaat was a guiding light as a i documented life and death for my documentary killing gaza he helped me gain access to elders in his neighborhood who provided testimony of shocking israeli war crimes in one of our last exchanges i told him that in my time in gaza i felt as though i were documenting the warsaw ghetto before its liquidation by nazis i promised him that his writings would be featured in a future victims of zionism museum i didnt imagine that would be my last message to him refaat alareer embraced everything good and pure about gaza and palestine he will not be forgotten and his legacy will live on for many generations to come rest in peace refaat
489,hanukkah is also about the oppressed miraculously resisting empire this hanukkah we pray for a ceasefire and an end to israels genocide in gaza
3749,demanding sanctions against israel nofly zone over gaza dismantling apartheid a free democratic palestine w equal rights from the river to the sea now at mit last night
12026,goodbye my friend dr refaat alareer one of gazas best academics refaat was murdered in an israeli airstrike on his home every day i feared that i would have to type this tweet out but here we are thank you for the few conversations that we had may you rest in peace
2691,bombshell the true location is beit lahiya not khan yunis thats just in the north so they did not break the militants in the middle of gaza this makes the whole story fall apart thx
3704,israels wet dream of starving palestinians is now becoming reality gaza
5627,beit lahia civilians taken hostage brought to military bases in israel the men were abducted from a un school in beit lahia women children were kicked to south gaza while males over 16 were kidnapped a common practice which they did numerous times in gaza city
5578,as israel exterminated hundreds of palestinians in the gaza ghetto the odious propagandist singled out refaat alareer for making fun of fully debunked zionist lies putting a target on his back now that israel has murdered him she must be constantly reminded that his blood is on her hands
320,a palestininian girl in gaza that recognized her mom
1318,when israel ran out of lies it regurgitated the rape and sexual violence lie the first to get the zionist marching orders is this un racist antonio guterres all the rapesexual violence allegations are lies israel uses them as smokescreens to justify the gaza genocide
4295,it doesnt look like the hamas boys are winning against the idf in gaza
90760,if i must die let it be a tale freepalestine gaza
1959,in case you wonder how israel was built in 1948 watch what theyre doing in gaza in real time they mass murdered palestinians forcibly expelled them from their neighborhoods and took over whatever is left of their homes money and property
2897,the situation is catastrophic here in the middle of gaza strip today food ran out there are no blankets for warmth in the winter cold prices are insane unrwa is playing the role of a bystander we are close to famine and everyone watches us silently as we die
2539,gaza 2023 germany 1943
0,me watching allah dish out sodom and gomorrah on gaza using the unsuspecting idf as his right hand
27571,the footage of israeli soldiers torturing and humiliating detained palestinian men in gaza is horrific weve seen terrible images like this from genocides throughout history we know what this leads to never again means never again for anyone
16645,if i get killed by israeli bombs or my family is harmed i blame bari weiss and her likes many maniacal israeli soldiers already bombing gaza take these lies and smears seriously and they act upon them
22039,my sister just messaged me to say that israel is carrying out summary executions of unarmed men in northern gaza inside their homes they force their families and children to watch the executions they then let the women and children flee the scene ceasefire now
0,i understood that kamala harris woke up and finally decided to condemn what hamas terrorists did to israeli women on october 7 i remember that she and her daughter raised money for hamasgaza what are the chances that she will transfer the donation to women in israel instead
791,one day the killing will end i know i lived through it in lebanon when israels bloodlust is finally satiated israel will be forever stained a pariah among nations and everyone who enabled them will live in everlasting shame gaza
9618,this street was crowded with people now there only a few people around 10 drones are above us khan younis gaza palestine
6706,sorry to share but the world needs to see this terrorism thats going on right now in gaza
5281,name me one nation that is doing more to alleviate the pain and suffering of people in gaza than the united states you wont succeed it just wont work john kirby the us supplies 100 of the bombs to israel that massacre the children at least be honest this makes you look like a clown
27267,again the people on the right were unarmed noncombatants sheltering with their families in northern gaza the iof terrorists ambushed them and stripped them in the cold nazi
793,this plane flew over harvard today in protest against harvards alleged antisemitic behavior what makes it worse the banner was apparently funded by harvard students as ive said since the beginning the war in gaza will lead to an increase in hate globally and this is yet another perfect example source fox
27544,former prime minister of pakistan imran khans condemnation statement from prison against israels war crimes in gaza and the genocide of the palestinians gazagenocide
476,breaking israel using white phosphorus in khan younes in gaza right now
27759,israel has reportedly just murdered one of the bravest voices academics from gaza dr refaat alareer rest in peace
1912,people always wonder how the holocaust happened why did people look away how could they let that sort of industrialized genocidal slaughter take place how could so many remain silent even supportive now we know how it happened gaza is showing us the answer to all of those questions
1115,dear ukrainian bums fuck off and pay your own bills dear israeli bums fuck off and pay your own bills dear taiwan bums fuck off and pay your own bills why are we paying for zionists to kill kids in gaza americans have their own bills to pay
13176,the assassins targeted went after and killed the voice of gaza one of its best academics a human my dear and precious friend dr refaat alareer
3888,signal boosting this fb post the palestinian families from gaza dont have anywhere to stay in manila after december 21 please share to reach those who can help
25556,refaat was a brave and wonderful person he wrote this message to me and my mum from gaza today he was killed by an israeli airstrike im devastated
18768,hamas there is no food in gaza hamas terrorists surrendering today
15013,12 rockets fired by hamas from a un humanitarian site in gaza you there where is your condemnation
816,how many more people have to die labour party leader keir starmer funded by the israel lobby faces questioning regarding his stance on israels genocidal war in gaza
37076,israeli settlers true edition in this threadill post israeli settlers assaults and violations against peaceful palestinians all of these videos were before oct 7 and were not in gaza get ready to witness whats hidden its time to expose the truth
8923,bari weiss put a target on refaat because he made a joke about the fake babies in ovens claim that even israel admitted was made up the idf knows where everyone in gaza lives bari has blood on her hands
0,no hes maintaining the pretense that he is unaware of the extent that hamas has turned much of gaza into a legitimate military target and that intentionally endanger civilians is standard practice for hamas pij hezbollah etc
84,this is the same tribe that created fake rape allegations whilst enthroning the rape rabbi israeli accusations are confessions gaza israel
9894,one of refaats last messages to the world we will win and gaza and palestine will prevail
5689,an israeli journalist posts a picture of palestinian civilian prisoners in gaza stripped naked in the street and poses the question on his account why are there no women in the picture it has been reported that the journalist participated in firing mortar shells at the homes of palestinians in gaza while accompanying the occupation forces
31480,cast your votes gazas journalists or taylor swift
4008,now tell me what does the holocaust memorial in budapest have in common with the image taken in gaza
3399,heartbreaking moment palestinians in gaza gather whats left from their families remaining
1573,gaza is the new holocaust
9240,american cafe staff refuse to let a jewish woman use their restroom inside they have decorated it with texts saying zionism fascism neutrality helps genocide in gaza there is a masspsychosis going on
1097,trauma is utterly unprecedented unicef tells al jazeera that the lack of water food medicine and protection is becoming an even bigger threat than bombs to the lives of thousands in gaza
2060,increasingly we cannot reach the civilian population in gaza because our own aid workers are fleeing for their lives
1578,un human rights chief situation in gaza is apocalyptic
254,the brutal twomonth long killing of thousands of gaza children has deeply affected me on an emotional and even a spiritual level in ways i will never truly recover i think about thousands of other children in gaza who we had planned to help thread
48,an unbridled and terribly cruel attack against gaza creates hatred of israel at levels weve never seen beforeand whats even more terrible is this hatred will be justified nothing will be more justified
11280,satan has surely taken a firm hand on israeli conduct now they imagined this image would help them in the world gaza_genocide
14711,a seamstress in gaza who designed palestinian embroidered dresses for my family was killed in gaza with her children while seeking shelter at a un school she is not a number her name is neirman mohammad abu shaeb here are some pieces she designed rest in power
625,history will write that egypt had the nile river and gaza died of thirst history will write that saudi arabia and the united arab emirates have oil seas while gaza has no fuel for an ambulance history will write that the arabs have 4 million soldiers and they could not get even a single bullet into gaza history will write that saudi arabia paid billions of dollars for entertainment and parties and there was no bread or water in gaza and history will write that pakistan was made in the name of islam and it did nothing to help their brothers in gaza there will be accountability eventually for staying silent
21151,i know youre exhausted talking about gaza but the tipping point is heredont stop
20888,footage circulated by israeli media shows israels military kidnapping palestinians from gaza and stripping them naked
21015,gaza on oct 7th vs now 2 months ago palestinians took to the streets of gaza celebrate the terrorists that massacred 1200 people in israel today idf have detained many of those who committed the atrocities on that day from the hamas shejaiya battalion
28739,how is it that theyre allowed to say flatten gaza without any repercussions but the minute we highlight their atrocities we are accused of inciting violence
2772,refaat alareer was killed by today in his recent interview in october there is no way out of gaza what should we do drown commit mass suicide is this what israel wants and were not going to do that i am an academic probably the toughest thing i have at home is an expo marker but if the israelis invade us if they barge at us open door to door to massacre us i am going to use that marker throw it at the israeli soldiers even if that is the last thing that i will be able to do and this is the feeling of everybody in palestine we are helpless and we have nothing to lose
0,yeah bro the mess in the absolute shithole gaza is mcdonalds responsibility to clean up
489,what israel is doing in gaza will make gazans hate israelis more guess what breaching a wall and slaughtering entire families torturing and raping women and burning children and taking hundreds as captives did to israelis did you think israelis cant feel pain
9,i dont remember where i read it but i once that we only valorize resilience because we dont want to face the reality of why people are forced to be resilient this is heartbreaking beyond words and its happening to the entire population of gaza
11779,dr refaat alareer has been assassinated now by israel refaat is one of the founders of and a very good friend he authored many books and wrote tens of stories about gaza refaats assassination is tragic painful and outrageous it is a huge loss
3709,israel is stripping palestinian civilians naked on the streets of gaza kidnapping them and taking them to an isolated area so it can mass execute them read that again
57,i hope more young people will follow in refaats footsteps tributes pour in after renowned palestinian poet and academic refaat alareer was killed in an israeli strike in southern gaza along with several family members live updates ajeiojuzppo
1,officials are worried israel is seeking us weapons 4a war in lebanon analysts say an uptick in attacks tied 2iran risks ensnaring the us in a major conflict us officials fear israelgaza conflict could spark broader war
0,brianna is correct we are not against the jews in the us or israel we are against the genocide that the usisrael is perpétrating in gaza because zionism is not judaism we join with the jews who protest this genocide defend palestine colonizersoutofusa
9897,this is an abomination as jews to see this being done in our name horrifying despicable words fail this is what our government supports in gaza thousands of children murdered people being rounded up stripped and gd knows what else ceasefire now end this nightmare
19261,the beautiful resilient children of gaza israel will never defeat them
147272,instead of giving our children food the un is giving them toys that look like food gaza
178,the sorrow in his eyes hes literally going through a mental breakdown in front of our eyes the israeli army killed 21 family members of him the west violated all what they have claimed about human rights ethics of journalism gaza_geniocide invokegenocideconvention gaza
1520,gaza is an open air prison
0,will civilians hide in tunnels civilians will be asked to stay on the ground to protect hamas
6818,2 refaat taught poetry english literature he taught harry potter shakespeare tomas wyatt john donne elizabeth barrett browning wilfred owen t s eliot he edited 2 books to raise our voice to the world gaza unsilenced gaza writes back he was full of life
597,this footage is from northern gaza not khan yunis and these are civilians who were kidnapped from an unrwa shelter
3367,the martyr heba alhamarna aged 28 a teacher who established a private center she dreamt of traveling and seeing the world beyond the borders of gaza she was an activist in human rights organizations and involved in organizing summer activities for children her friend saidshe loved the sea a lot and enjoyed writing she was always laughing and smiling the one who brought friends together she loved going out and taking walks she stood by everyone in everything and in every situation she was a support she was martyred in an israeli airstrike on the alhamarna family home on december 1 2023
0,natenyahu is a fucing murderer a psychopath and a maniac may he rot in hell along with his allies أبوعبيدة gaza freepalestine freepalestinefromisraei gaza_geniocide gaza_geniocide israelilies israelterorrist israelapartheidstate
6961,waiting to get flour from the unrwa distribution centre gaza
13748,a citizen from central gaza says this is the only amount of food that we have received as an entire family in three days in the school
0,no assclown he joked about an obviously bullshit story it was akin to mocking the bowling green massacre but there are babies being murdered for real in gaza every day i guess since refaat made a joke you didnt like then they all deserve to die disgusting
17297,biden can put a stop to this slaughter of children in gaza it is not that he doesnt have the leverage to stop israel its that he doesnt want to pay the political cost of using that leverage thus more babies who have nothing to do with this will be slaughtered
1196,less than two years ago everything turned blue and yellow overnight every website i went to every logo every app every institution billboards light displays blue and yellow for ukraine blue and yellow and for palestine for gaza just darkness
1,our peoples firm and permanent choice is comprehensive resistance to this nazi zionist occupation which is hostile to all religions and moral and civilizational value hamas press conference held on the 62nd day of the zionist aggression against gaza 12 via rnn
1570,horrifying eyewitness reports coming out from gaza that the israeli army is gathering unarmed men and boys and carrying out summary executions while forcing their families to watch this is srebrenica all over again
481,the girl lost her family by israeli bombardment in gaza
2471,who wants to chip in with me for her plane ticket to gaza to trade places with one of the hostages she really wants to be a hostage of hamas
18992,if you are palestinian you call for an uprising you are accused of calling for genocide if you are israeli you say the enemy is amalek ie kill every man woman child ox in gaza then you kill 16000 palestinians in 2 months u have a right to selfdefense
16401,israel has claimed it has created shelters with aid organisations in al mawasi a safe zone in the south of gaza a sky news team visited and found no aid no food kitchens and no help
7,israeli soldiers arrested little kids of palestine they are terrified freepalestine israel cease_fire_now gaza warcrimes viralvideo
9007,i wish i could say the same as my ukrainian colleague told you when it came to palestine you call it a conflict its a genocide a palestinian speaker highlights the complicity of the west in supporting israels genocide in gaza at the 25th eungo forum on human rights today in brussels belgium
900,what should we do drown commit mass suicide is that what israel wants these are the sentiments expressed by dr rafaat alaraeer concerning the heinous crimes committed by israel against palestinians in gaza may dr rafaat rest in peace
25660,1 nazi germany 2 gaza today
4693,you wrote an article on october 11th after almost 1000 palestinians in gaza had been killed demonising palestinian resistance and not even saying the word palestine or palestinian once you quietly edited it after you rightfully got backlash for your stupid piece you dont get to grieve or be sickened by his loss
0,six year old child stabbed to death because he was palestinian three palestinian students shot because they were palestinian 17000 and counting palestinians in gaza murdered including 5000 children spare me the outrage
161,no leader of any muslim country had the guts to say what like this member of uk house of lords he nailed isreal within four minutes lets make this video go viral gaza_geniocide
18948,thank you hashem for letting the jewish people start hanukah with a smile thanks to this mass surrender of hamas terrorists in gaza this should be the first of many thank you idf
739,israeli forces detain paramedics at gun point preventing them from saving lives in gaza
0,well they used to live in various parts of palestine now most live as refugees though some remain in gaza a few did gain israeli citizenship but were ruled present absentees and still had property seized
8753,the us has sent 200 cargo planes of weapons to israel throughout this genocidal war on gaza genocide made in the usa
361,at least he admits the truth a lot of gazas civilians infiltrated into israel on october 7th kidnapped israeli citizens and looted villages civilians
11334,dear at about 4 pm et yesterday one of your guests john suggested that the unlv shooter might be a muslim person angry over the situation in gaza there was no evidence to suggest that no sources nothing the shooter was a 67yearold white man angry about not getting a job this blatent racism and wrecklessness should result in an automatic ban from your network youre no better than fox blaming muslims for the rainbow bridge car wreck fire john
127,it is the fucking height of narcissism to watch israel kill seventeen thousands palestinians in gaza and then that claim we american jews are the real victims im so sick of this bullshit american jews live incredibly safe lives 17000 dead get some fucking perspective
139,the israeli occupation forces brutally assault a palestinian youth in salah eddin street in jerusalem 241123 غزة_الآن freepalestine gaza israel palestine israelinewnazism israelterorrist zionistterror
283,if the world gets bombarded by a virus far more fatal than the coronavirus then remember that it can be the curse of oppressing 2 million innocent palestinians in gaza who have been besieged by israel for 2 months and neither have shelter nor food
16644,why are we allowing israel to carry on killing palestinian children in gaza ceasefire now
307,israel continues to escalate its bombardment on gaza straining health facilities and aid efforts follow our live coverage ajeiojuzppo
13188,recently bari weiss put a kill target on refaat alareer a palestinian writer and reporter in gaza for daring to joke about the baby in oven hoax the israeli regime whose members follow her every word have now killed him bari weiss killed refaat alareer
1714,we never got to do the event we said wed do it next time i am in gaza there wont be a next time now i am so angry this is refaat always thinking about his students about their writing a powerful teacher and writer
4,yesterday i met with residents to share their grief and concerns for the over 15000 innocent civilians killed by the violence in gaza the challenges around bringing canadians and families home and building a better long term solution there must be a permanent ceasefire now
7576,the founder of hamas ahmed yassin was 12 years old when his family was ethnically cleansed from aljura fleeing to the alshati refugee camp in gaza during the nakba i dont condemn hamas i condemn the occupation that necessitated the existence of a hamas
205,speak to any writer poet translator or student of literature or english in gaza and they will tell you how refaat was instrumental to their education and journey as writers poets and students there are not enough words in the world to describe this loss
1308,zionist israels ai war god chose this gaza residential neighborhood to destroy today only god in heaven knows how many souls lost their lives today israel has lost its right to exist as a state it must be legally dismantled just as nato eliminated yugoslavia as a nation
34,among buildings destroyed or partially destroyed are the main palestinian court in gaza the palestinian legislative council complex 339 education facilities 167 places of worship while 26 of the territorys 35 hospitals are not functioning
1318,geoff keighley has still not responded to this letter which now 78 future class members out of 150 when the letter was issued have signed the future class members who signed are looking for a platform tonight to acknowledge the crisis in gaza
842,theres a coordinated attempt to make you disbelieve gazas hideously high death toll israel claim its hamas propaganda and that most killed are combatants these are lies heres an explanation of why the official death toll is actually an underestimate
47,and a story that will be painfully familiar to anyone in gaza or who has family there refaats cousin awad died after israel delayed him from receiving the medical care he needed after being diagnosed with cancer
159,happening now in israel zionists are beating antizionists self hating jews whom shall we stand up by speaking of the only democracy in the middle east and freedom of speech gaza_geniocide
7761,this tiktoker wants to be a hostage in gaza because video showed the released hostages smiling and shaking hands with hamas reports show hamas drugged the hostages so they would appear calm a doctor reported many hostages were sexually abused video shows hamas commanding the hostages to wave and smile other hostages report intense beatings and very little food imagine falling this hard for hamas propaganda
0,interested in ukrainian battlefield but not in helpin gaza civilians basically involved in both wars against humanity
118,our research revealed that these photos were initially published by gaza report not by local activists in gaza we also observed that these images had been widely circulated among proisrael accounts particularly those emphasizing the existence of tunnels beneath the camp
0,are you really a doctor looks like you became a doctor with plagiarism then tell all the doctors in gaza strip to stop using western practices for treating patients
2458,rafaat was killed in an israeli airstrike today he was one of the people i check on everytime i open twitter hes an author and a professor he is not just a number please download and read light in gaza
65,hamas reportedly provided israel with intelligence on fellow gazabased terror group palestinian islamic jihad in the months leading up to the october 7 massacre hamas israel read more
73424,be ashamed if you stopped talking about palestine do you realize that gaza doesnt even want your money all gaza wants is for people to keep talking about them gaza counts on you to be their voice to humanize them keep talking about palestine keep talking about gaza
0,20231207 israel at war day 62 849 am et349 pm tel aviv israeli spokesman eylon levy daily briefing hamas launched missiles from inside the humanitarian zone israelhamaswar idf israel terrorism israelpalestinianwar gaza hamas eylonlevy israelunderattack gazaoffensive hostage hostages
5771,this picture is from northern gaza not khan yunis and these are civilians who were kidnapped from an unrwa shelter
907,as we get ready for the game awards todays palestine news israel has declared it is unwilling to accept a palestinian authority government in gaza after it completes its cleansing it doesnt want to rule gaza and it doesnt want palestinian rule destruction is what it wants
1026,israel is operating on a quite simple theory make gaza entirely unlivable and then the choice facing the international community will be to either let gazans all die or agree to resettle them elsewhere this is said openly among israeli officials second nakba
1084,do not believe for a second the lie that the men israel abducted and stripped in northern gaza are hamas they are civilian men and have families that recognize them some of the abductees are fatah affiliates and employees of the palestinian authority as per this testimony
968,as long as the us is sending bombs to israel the us is responsible for the deaths of thousands of children in gaza full stop
646,refaat alareer one of the founders of the we are not numbers project and professor at the islamic university of gaza was killed by israeli airstrikes today
1,a journalist says that people in the south of gaza cant even bury their loved ones bc they might be the next he cant even talk bc the scenes too horrific to be described israelinewnazism gaza_genocide stoparmingisrael israel
1352,breaking hamas official press conference the press conference held by the islamic resistance movement hamas this evening thursday 1272023 to keep pace with the developments of the ongoing zionist terrorist aggression against the gaza strip for the 62nd day in a row in the name of god the most gracious the most merciful ladies and gentlemen may the peace blessings and mercy of god be upon you we have mercy on the souls of the martyrs of our righteous people in proud gaza and in the west bank occupied jerusalem and the refugee camps and diaspora we ask god almighty for a speedy recovery for the wounded and sick and we send a greeting of pride and pride to our patient people stationed firmly in the gaza strip from north to south and in its cities and camps steadfast in the face of the zionist war machine in jabalia alshati alnuseirat deir albalah almaghazi albureij khan yunis and rafah to which this wounded child leah alhoubi was forcibly displaced from her home in deir albalah and she was bombed by the nazi occupation and her words remain we must liberate our beloved jerusalem and return to our homeland in the beginning we reassure the masses of our palestinian people our arab and islamic nation and all the free people in the world that your victorious resistance is still leading and managing the chapters of the battle of alaqsa flood on the sixtysecond day with all strength wisdom and ability in which it is writing a heroic epic as it defends its people its land and its sanctity the furthest of them is the blessed one and it infiltrates the enemys nazi army killing its soldiers and officers either dead or wounded or permanently disabled or completely or partially blinded and destroying its military vehicles from a distance of zero rendering them out of service or scattered in pieces or charred by the cowardly murderous soldiers in them of the mercenaries used by this nazi enemy while it was documented that more than 410 zionist military vehicles were completely or partially destroyed since the start of the ground aggression on the gaza strip and dozens of soldiers and officers of the occupation army and brigade commanders were killed and according to the enemys confession 90 soldiers and officers were killed and certainly the real number is many times that the number of enemy wounded exceeds 2000 hundreds of whom were seriously injured our resistance fighters are still valiant in the field and on all fronts they are coming out from under the ground above it and from under the rubble they are destroying its armored vehicles and tanks and killing its soldiers and officers they are documenting this with audio and video these great sacrifices and daily field victories made by our resistors at the forefront of them are the martyr izz aldin alqassam brigades which is a prelude to the great victory god almighty willing and our victorious resistance is ready to continue confronting and confronting the enemy with all strength and courage regardless of the duration and extent of the aggression with more than two months having passed since the genocidal war waged by the occupation against the gaza strip in which it used bombing with all kinds of zionist and american weapons and bombs and practiced a dirty policy through starvation thirst and the destruction of all components of human life during which it received open american and western support at all levels with the continuation of international inaction failure and silence in stopping this barbaric aggressive war which has left to date more than 60000 of our palestinian people in the gaza strip the west bank and occupied jerusalem martyred wounded and missing 1
2685,israeli invaders have stripped these men and taken them to a military base for interrogation and likely torture after kidnapping them from a un school in gazas beit lahiya their wives female siblings and children were reportedly sent to march south where israel is bombing
2466,new york hundreds of jews neighbors are lighting a ninefoot tall menorah decorated with the word ceasefire on the first night of chanukah were making it clear end the siege on gaza release all hostages we are jewsforceasefire
4332,palestinians waiting in line to get a handful of flour from the unrwa distribution centre israel is deliberately starving the civilian population in gaza this is a crime against humanity
1,the breakdown of public order in southern gaza is accelerating as israels offensive dislodges hamass control of the enclave threatening aid deliveries to palestinians who now fear robberies and looting while reporting a rise in starvation and disease
1850,horrifying scenes unfold as the israeli occupation bombarded an entire residential block west of khan yunis resulting in casualties and martyrs with a significant number being women and children in the gaza strip
540,times square nyc today the faces of 10 month year old kfir 4 year old ariel and parents shiri and yarden bibas who are being held hostage by hamas terrorists in gaza the bibas have been held hostage in gaza for 61 days bringthemhomenow
540,we won we win elpheltnation
