username,text,likes
@brandonshimoda,"""Writing is a testimony, a memory that outlives any human experience, and an obligation to communicate with ourselves and the world. We lived for a reason, to tell the tales of loss, of survival, and of hope,"" I told my students.  Refaat Alareer, in Light in Gaza @haymarketbooks",23
@azaizamotaz9,"Israeli army arrested Palestinian civilians from a school in Beit Lahia in the north of Gaza Strip, and forced them to take off their cloths and left them in the cold street before detaining them They were all civilians",74707
@GazaMartyrs,"I am Dr. Rafat al-Araeer, 44 years old.  I'm an academic and lecturer at the Islamic University of Gaza, teaching foreign poetry and English literature.  I've participated in writing novels and books about the challenges of life in Gaza under Israeli blockade. I've been very active in exposing Israeli crimes on social media.  I always used to say: ""When we write about martyrs, it must be known that the Israeli occupation killed them. We must not leave the perpetrator unknown.""  The last thing I said was: ""The situation is very bleak, we don't even have water... I only have my pen, I'll throw it at the occupation soldiers if they invade, even if that's the last thing I do. We have nothing to lose.""  My brother was martyred by the Israeli occupation in the 2014 war, and today, I bid you farewell. My family and I are going to paradise next to my brother.  Dr. Rafat was martyred in an assassination carried out by the Israeli occupation. He and his family were martyred today, December 7, 2023.",24560
@helensclegel,Israel now admits it overestimated by hundreds the number of Israelis killed on 7th October.  They also admit the Gaza Ministry of Health data on Palestinians killed are accurate.  Will our media and politicians learn to stop believing Israel and start trusting Palestinians?,2900
@Lowkey0nline,"""What should we do? drown? commit mass suicide, is that what Israel wants?""  The haunting words of Dr. Refaat al-Areer, who has now been killed by Israel in Gaza.",36083
@Amyisroel_Chai,""" who spent his life trying to get Gaza's voice to the outside world.""  if that's Gaza's voice the world should know why there is no peace.  Spoiler alert it's not the fault of Israel",0
@Majstar7,"“I was in Ukraine 🇺🇦 when families just like these [Palestinians] were forced to flee, and the world opened its heart to them. I do not understand now why the world has closed its eyes.”   - UNICEF Spokesman @1james_elder reporting live from Gaza 🇵🇸 #StopGazaGenocide",17514
@_GeorgieBlaise,"HAPPENING NOW: over 1,000 trade unionists simultaneously shut down 4 UK arms factories which help produce Israeli fighter jets being used to bombard Gaza.  Over 600 people blockading 3 entrances at Bournemouth factory. Hundreds of others in Glasgow, Lancashire & Brighton 🇵🇸♥️",9562
@wrcaifear,There are videos of IDF Muslims officers being honored by Israelis after October 7 massacre. The Muslims in Israel are treated better than those in Gaza,0
@GoodMorningCapt,They don't want to defeat Hamas. They want to conquer Gaza and incorporate it into their state. It's obvious. They don't hide it. You are a supporter of genocide. You are campaigning for Trump and dictatorship in the United States. Have a little shame.,0
@Dalia1639452,"🔻 Imagine: doing everything possible to have baby, then, once   finally there, u lost him in seconds by the occupation's hysterical bombing. #IsraeliNewNazism #Gaza_Genocide #StopArmingIsrael #Israel",0
@MarinaMedvin,Why does Israel have to win in Gaza? Because Israel is the promise to the Jewish people that they will never again be defeated.  #NeverAgainIsNow,141
@mhdksafa,"""61 days we screamed and no one answered""  Your silence is deafening. I strongly condemn your silence. Don’t stop talking about Gaza.",15568
@MuhammadSmiry,Our friend Refaat is no longer alive. #Gaza,67342
@DrKarimWafa,"They dehumanised Palestinian men but they don’t show you that Palestinian men are digging under the rubble with their own hands to save people, that Palestinian men are caring for injured babies across Gaza and that Palestinian men are praying and singing amidst their suffering.",4606
@JehadAbusalim,Gaza's archives are gone. These archives documented a history deeply rooted long before immigrants from Eastern Europe arrived in our country.,43383
@azaizamotaz9,Shejaiya is in the east of Gaza city Khan younis is a city inside the strip  At least before you lie just try to know about Gaza Strip places  These are civilians from the north of Gaza Strip,50157
@Wasimakramjr,ALLAH'S PLAN 🤲 #PSL9 #PSL2024 #NaseemShah #BabarAzam #BabarAzam𓃵 #PSL9Draft #AhmadShahzad #AUSvPAK #AUSvsPAK #pakvaus #PAKVSAUS #rizwan #ShanMasood #Shan not out ayesha omer #Gaza #fcklive,8
@itranslate123,The Democratic Party and Biden are responsible for the Gaza genocide perpetrated by Israel.,67904
@TheHayoooosh,"🚨FAKE NEWS : those are NOT hamas members ! 🚨  The IOF have captured  100 unarmed displaced civilians from their shelters in the schools - Northern Gaza ,  And forced them to take their clothes off , threatens them of executing  them plus the continuous abuse . #Gaza #Gaza_Genocide #CeasefireForGazaNOW #GazaHoloucast",1018
@leylahamed,"Refaat Al-Areer, Palestinian writer, posted this days ago: “If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.” He was murdered along with his family yesterday. He was one of the best academics and strongest voices from Gaza.",81
@RamiJarrah,"The moment Aljazeera Journalist Momen Al-Sharafi breaks the news that his entire family of 21 members were just killed in an Israeli Airstrike in #Gaza.  The look he gives as he is no longer able to talk, is heartbreaking.",9586
@POTUS,"I spoke with King Abdullah II of Jordan today to discuss the latest developments in Gaza, reiterating my commitment to increasing the delivery of humanitarian assistance to Palestinian civilians in Gaza.  We agreed we cannot stop working together towards a durable, sustainable peace in the Middle East.",2799
@comrade_sweezy,U.S. officials: “This is a targeted operation and the IDF takes every feasible precaution to prevent civilian casualties”  Israeli soldier: *writes “to the people of Gaza with love” on bombs  to be dropped on refugee camps*,1822
@mhdksafa,This photo needs to be the front page of every news paper in the world.  People at UN distribution points - 2.2 million people are food insecure. People are dying from bombs and soon many will die from consequences of the siege imposed on Gaza. Don’t stop talking about Gaza.,54702
@yumna_patel,Women in Gaza don’t have sanitary pads or formula to feed their babies. Women doctors and journalists are being killed. Young women students don’t have universities anymore. Pregnant women are being bombed. But really happy for these girl bosses. 👸🏼,28760
@mhdksafa,Nowhere is safe in Gaza. Nowhere is safe in Gaza. Nowhere is safe in Gaza.  Keep pushing for a ceasefire. Don’t stop talking about Gaza.,29126
@JordanUhl,Weird how everyone in Gaza who's in a position to effectively communicate and demonstrate what Israel is doing keeps dying. Probably just a coincidence!,9134
@Bernadotte22,"A short while ago, the Israeli occupation forces kidnapped more than 100 unarmed Palestinians in front of their children and women from a school for displaced people in the northern Gaza Strip, took them to an open area, executed them in cold blood, one after the other, and threw them into a pit. 🇵🇸 Among them are children as young as 15 years old. #IsraelisISIS",862
@dancohen3000,"I've just learned that Dr. Refaat Alareer, along with several family members, has been murdered in an Israeli airstrike.  I'm in tears and sick to my stomach as I write this.  I had the great honor to spend time with Refaat during my time in Gaza, including harvesting olives with him in 2015 in his home neighborhood of Shujaiya.  I visited him in the Islamic University of Gaza, where he used English-language literature and poetry to teach his students the difference between Judaism and Zionism, equipping them with the mental tools to resist Zionist propaganda that seeks to conflate the two.  Refaat was a guiding light as a I documented life and death for my documentary, Killing Gaza. He helped me gain access to elders in his neighborhood who provided testimony of shocking Israeli war crimes.  In one of our last exchanges, I told him that, in my time in Gaza, I felt as though I were documenting the Warsaw Ghetto before its liquidation by Nazis. I promised him that his writings would be featured in a future Victims of Zionism museum. I didn't imagine that would be my last message to him.  Refaat Alareer embraced everything good and pure about Gaza and Palestine. He will not be forgotten and his legacy will live on for many generations to come.  Rest in peace, Refaat.",29006
@JoshuaPHilll,Hanukkah is also about the oppressed miraculously resisting empire. This Hanukkah we pray for a ceasefire and an end to Israel’s genocide in Gaza.,489
@mikopeled,"Demanding sanctions against Israel, no-fly zone over Gaza, dismantling apartheid & a free democratic Palestine w equal rights from the River to the Sea Now! At MIT last night.",3749
@WarMonitors,"⚡️Goodbye my friend, Dr Refaat Al-Ar’eer (@itranslate123), one of Gaza’s best academics.   Refaat was murdered in an Israeli airstrike on his home. Every day I feared that I would have to type this tweet out, but here we are. Thank you for the few conversations that we had, may you rest in peace.",12026
@MyLordBebo,"🇮🇱🇵🇸🚨‼️ BOMBSHELL: The true location is Beit Lahiya, not Khan Yunis. That's just in the North!  -> So, they did not ""break the militants in the middle of Gaza""! This makes the whole story fall apart.  THX @EGYCAESER",2691
@abierkhatib,Israel's wet dream of starving Palestinians is now becoming reality.   #Gaza,3704
@DrLoupis,"Beit Lahia.  Civilians taken hostage & brought to military bases in Israel; the men were abducted from a UN school in Beit Lahia. Women & children were kicked to south Gaza, while males over 16 were kidnapped.  A common practice which they did numerous times in Gaza city.  @ytirawi",5627
@dancohen3000,"As Israel exterminated hundreds of Palestinians in the Gaza ghetto, the odious propagandist @bariweiss singled out Refaat Alareer (@itranslate123) for making fun of fully debunked Zionist lies, putting a target on his back.  Now that Israel has murdered him, she must be constantly reminded that his blood is on her hands.",5578
@AAbubakar43601,A palestininian girl in Gaza that recognized her mom 🇯🇴💔 😭,320
@itranslate123,"When Israel ran out of lies, it regurgitated the rape and sexual violence lie. The first to get the Zionist marching orders is this UN racist Antonio Guterres.  ALL the rape/sexual violence allegations are lies. Israel uses them as smokescreens to justify the Gaza genocide.",1318
@visegrad24,It doesn’t look like the Hamas boys are winning against the IDF in Gaza…,4295
@itranslate123,"If I must die, let it be a tale.   #FreePalestine #Gaza",90760
@marwasf,"In case you wonder how Israel was built in 1948, watch what they’re doing in Gaza in real time. They mass murdered Palestinians, forcibly expelled them from their neighborhoods, and took over whatever is left of their homes, money, and property.",1959
@GazaMartyrs,"The situation is catastrophic here in the middle of Gaza Strip. Today, food ran out, there are no blankets for warmth in the winter cold, prices are insane, UNRWA is playing the role of a bystander, we are close to famine, and everyone watches us silently as we die.",2897
@ShaykhSulaiman,GAZA 2023 = GERMANY 1943,2539
@Nanifa7,me watching Allah dish out Sodom and Gomorrah on Gaza using the unsuspecting IDF as his right hand:,0
@jvplive,The footage of Israeli soldiers torturing and humiliating detained Palestinian men in Gaza is horrific.   We’ve seen terrible images like this from genocides throughout history. We know what this leads to. Never again means never again for anyone.,27571
@itranslate123,"If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss @bariweiss and her likes.   Many maniacal Israeli soldiers already bombing Gaza take these lies and smears seriously and they act upon them.",16645
@MalakaShwaikh,My sister just messaged me to say that Israel is carrying out summary executions of unarmed men in northern Gaza inside their homes. They force their families and children to watch the executions. They then let the women and children flee the scene. Ceasefire. Now.,22039
@ManaOfir,I understood that kamala Harris woke up and finally decided to condemn what Hamas terrorists did to Israeli women on October 7  I remember that she and her daughter raised money for Hamas/Gaza  What are the chances that she will transfer the donation to women in Israel instead?,0
@peterdaou,"One day, the killing will end. I know. I lived through it in Lebanon.   When Israel's bloodlust is finally satiated, Israel will be forever stained, a pariah among nations.   And everyone who enabled them will live in everlasting shame.  #Gaza",791
@MuhammadSmiry,"This street was crowded with people  Now there only a few people, Around 10 drones are above us!  Khan Younis, Gaza, Palestine",9618
@stairwayto3dom,"🚨🇮🇱 SORRY TO SHARE, BUT THE WORLD NEEDS TO SEE THIS TERRORISM THAT’S GOING ON RIGHT NOW IN GAZA!",6706
@Megatron_ron,"🇺🇸🇵🇸Name me one nation that is doing more to alleviate the pain and suffering of people in Gaza than the United States. You won't succeed, it just won't work! — John Kirby  The US supplies 100% of the bombs to Israel that massacre the children.  At least be honest, this makes you look like a clown",5281
@ME_1948_Updates,"Again, the people on the right were unarmed noncombatants sheltering with their families in northern Gaza. The IOF terrorists ambushed them and stripped them in the cold. Nazi",27267
@MarioNawfal,"🇺🇸This plane flew over Harvard today in protest against Harvard's alleged antisemitic behavior.   What makes it worse: The banner was apparently funded by Harvard students.  As I've said since the beginning, the war in Gaza will lead to an increase in hate globally, and this is yet another perfect example.  Source: Fox",793
@ImranKhanPTI,Former Prime Minister of Pakistan Imran Khan's condemnation statement from prison against Israel's war crimes in Gaza and the genocide of the Palestinians. #GazaGenocide,27544
@ShaykhSulaiman,BREAKING: ISRAEL USING WHITE PHOSPHORUS IN KHAN YOUNES IN GAZA RIGHT NOW,476
@jacksonhinklle,💔🇵🇸 ISRAEL has reportedly just MURDERED one of the bravest voices & academics from Gaza: Dr. Refaat al-Ar’eer @itranslate123  🙏 Rest in peace,27759
@RaniaKhalek,"People always wonder how the Holocaust happened.   Why did people look away? How could they let that sort of industrialized genocidal slaughter take place? How could so many remain silent, even supportive?   Now we know how it happened. Gaza is showing us the answer to all of those questions.",1912
@InfraHaz,"Dear Ukrainian bums: Fuck off and pay your own bills  Dear ""Israeli"" bums: Fuck off and pay your own bills  Dear Taiwan bums: Fuck off and pay your own bills   Why are we paying for Zionists to kill kids in Gaza?  AMERICANS HAVE THEIR OWN BILLS TO PAY!",1115
@RamAbdu,"The assassins targeted, went after and killed the voice of Gaza, one of its best academics, a human, my dear and precious friend dr. Refaat al-Ar’eer @itranslate123 @GazaWritesBack",13176
@janjancomics,Signal boosting this FB post. The Palestinian families from Gaza don’t have anywhere to stay in Manila after December 21. Please share to reach those who can help.,3888
@BennnyH,Refaat was a brave and wonderful person. He wrote this message to me and my mum from Gaza. Today he was killed by an Israeli airstrike. I'm  devastated.,25556
@DrEliDavid,Hamas: There is no food in Gaza  Hamas terrorists surrendering today: 👇,18768
@DrEliDavid,"12 rockets fired by Hamas from a UN 🇺🇳 humanitarian site in Gaza.  @antonioguterres, @DrTedros, you there? Where is your condemnation?",15013
@QudsNen,"""How many more people have to die?""  Labour Party leader Keir Starmer, funded by the Israel lobby, faces questioning regarding his stance on Israel's genocidal war in Gaza.",816
@A_Abdelrahman0,"‘ISRAELI SETTLERS, TRUE EDITION’  In this Thread🧵I’ll post Israeli Settlers assaults and violations against Peaceful Palestinians, All of these videos were Before Oct 7 and Were not in Gaza  Get ready to witness what’s HIDDEN  -IT’S TIME TO EXPOSE THE TRUTH-",37076
@MargBarAmerica,bari weiss put a target on refaat because he made a joke about the fake “babies in ovens” claim that even israel admitted was made up. the idf knows where everyone in gaza lives. bari has blood on her hands.,8923
@tepermanle,"No, he's maintaining the pretense that he is unaware of the extent that Hamas has turned much of Gaza into a legitimate military target and that intentionally endanger civilians is standard practice for Hamas, PIJ, Hezbollah, etc.",0
@KimJongwins,This is the same tribe that created fake rape allegations whilst enthroning the RAPE RABBI.   ISRAELI ACCUSATIONS ARE CONFESSIONS.   #Gaza #Israel,84
@Aldanmarki,"One of Refaat's last messages to the world.  ""We will win. And Gaza and Palestine will prevail"".",9894
@QudsNen,"An Israeli journalist posts a picture of Palestinian civilian prisoners in Gaza, stripped naked in the street, and poses the question on his account, ""Why are there no women in the picture?""  It has been reported that the journalist participated in firing mortar shells at the homes of Palestinians in Gaza while accompanying the occupation forces.",5689
@MarioNawfal,Cast your votes: Gaza's journalists or Taylor Swift?,31480
@iamjourjean,Now tell me what does the Holocaust memorial in Budapest have in common with the image taken in Gaza.,4008
@QudsNen,Heartbreaking moment: Palestinians in Gaza gather what's left from their families' remaining,3399
@Kahlissee,Gaza is the new Holocaust.,1573
@visegrad24,"American cafe staff refuse to let a Jewish woman use their restroom.  Inside, they have “decorated” it with texts saying:  “Zionism = fascism” “Neutrality helps genocide in Gaza”  There is a mass-psychosis going on…",9240
@AJEnglish,"“Trauma is utterly unprecedented.“   UNICEF tells Al Jazeera that the lack of water, food, medicine and protection is becoming an even bigger threat than bombs to the lives of thousands in Gaza ⤵️",1097
@NRC_Egeland,"Increasingly, we cannot reach the civilian population in Gaza, because our own aid workers are fleeing for their lives.",2060
@abierkhatib,UN Human rights chief  “ situation in #Gaza is apocalyptic”,1578
@Stevesosebee,The brutal two-month long killing of thousands of #Gaza children has deeply affected me on an emotional and even a spiritual level in ways I will never truly recover. I think  about thousands of other children in Gaza who we had planned to help.    Thread,254
@cjwerleman,“An unbridled and terribly cruel attack against Gaza creates hatred of Israel at levels we've never seen before…And what's even more terrible is this hatred will be justified. Nothing will be more justified.”,48
@georgegalloway,Satan has surely taken a firm hand on Israeli conduct now. They imagined this image would help them in the world... #Gaza_Genocide,11280
@Saalaaaam,A seamstress in Gaza who designed Palestinian embroidered dresses for my family was killed in Gaza with her children while seeking shelter at a UN school. She is not a number- Her name is Neirman Mohammad Abu Shaeb. Here are some pieces she designed.   Rest in power 💔,14711
@Angryman_J,"History will write that Egypt had the Nile River and Gaza died of thirst..  History will write that Saudi Arabia and the United Arab Emirates have oil seas, while Gaza has no fuel for an ambulance...  History will write that the Arabs have 4 million soldiers and they could not get even a single bullet into Gaza..  History will write that Saudi Arabia paid billions of dollars for entertainment and parties, and there was no bread or water in Gaza...  And history will write that Pakistan was made in the name of Islam and it did nothing to help their brothers in Gaza...  There will be accountability eventually for staying silent.",625
@hudabeauty,"I know you’re exhausted talking about Gaza, but the tipping point is here…..don’t stop",21151
@jacksonhinklle,💔🇵🇸 Footage circulated by Israeli media shows Israel’s military kidnapping Palestinians from Gaza and stripping them naked.,20888
@OliLondonTV,"Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",21015
@muftimenk,"How is it that they’re allowed to say “flatten Gaza” without any  repercussions but the minute we highlight their atrocities, we are accused of inciting violence!",28739
@zoo_bear,"Refaat Alareer was killed by @Israel today.   In his recent interview in October,  ""There is no way out of Gaza. What should we do... drown? Commit mass suicide? Is this what Israel wants? And we're not going to do that.. I am an academic, Probably the toughest thing I have at home is an Expo Marker. But if the Israelis invade us, If they barge at us, open door to door to massacre us, I am going to use that Marker, Throw it at the Israeli soldiers, even if that is the last thing that I will be able to do. And this is the feeling of everybody in Palestine. We are helpless and we have nothing to lose""",2772
@fatuglyloser,Yeah bro the mess in the absolute shithole Gaza is McDonald’s responsibility to clean up,0
@Claire_V0ltaire,"“What Israel is doing in Gaza will make gazans hate Israelis more.”  Guess what breaching a wall and slaughtering entire families, torturing and raping women and burning children and taking hundreds as captives did to Israelis?  Did you think Israelis can’t feel pain?",489
@EladNehorai,"I don't remember where I read it, but I once that we only valorize resilience because we don't want to face the reality of why people are forced to be resilient.  This is heartbreaking beyond words, and it's happening to the entire population of Gaza.",9
@AlnaouqA,"Dr Refaat Alareer @itranslate123 has been assassinated now by Israel. Refaat is one of the founders of @WeAreNotNumbers and a very good friend. He authored many books and wrote tens of stories about Gaza.   Refaat’s assassination is tragic, painful and outrageous. It is a huge loss.",11779
@sahouraxo,"Israel is stripping Palestinian civilians naked on the streets of Gaza, kidnapping them, and taking them to an isolated area so it can mass execute them.  Read that again.",3709
@AJEnglish,‘I hope more young people will follow in Refaat’s footsteps.’  Tributes pour in after renowned Palestinian poet and academic Refaat Alareer was killed in an Israeli strike in southern Gaza along with several family members.   🔴 LIVE updates: aje.io/juzppo,57
@rmslim,"⁦@AkbarSAhmed⁩: “Officials are worried #Israel is seeking #U.S. weapons 4a war in #Lebanon, &analysts say an uptick in attacks tied 2#Iran risks ensnaring the U.S. in a major conflict.” U.S. Officials Fear Israel-Gaza Conflict Could Spark Broader War https://www.huffpost.com/entry/israel-gaza-war-lebanon-iran-us-yemen_n_65724dd5e4b001ec86a76c9a",1
@meslippers,Brianna is correct.  We are not against the Jews in the US or Israel. We ARE against the >genocide< that the US/Israel is perpétrating in Gaza. Because Zionism is NOT Judaism we join with the Jews who protest this genocide & defend  Palestine.  #ColonizersOutOfUSA,0
@IfNotNowOrg,"This is an abomination. As Jews, to see this being done in our name... horrifying, despicable, words fail.  This is what our government supports in Gaza. Thousands of children murdered, people being rounded up, stripped, and G-d knows what else.  Ceasefire NOW, end this nightmare",9897
@Kahlissee,"The beautiful, resilient children of Gaza. Israel will never defeat them.",19261
@MuhammadSmiry,"Instead of giving our children food,  The UN is giving them toys that look like food. #Gaza",147272
@elfeky1711,The sorrow in his eyes  He’s literally going through a mental breakdown in front of our eyes  The Israeli army killed 21 family members of him  The west violated all what they have claimed about human rights & ethics of Journalism  #Gaza_Geniocide #InvokeGenocideConvention #Gaza,178
@ShaykhSulaiman,GAZA IS AN OPEN AIR PRISON,1520
@skpapofly,Will civilians hide in tunnels? Civilians will be asked to stay on the ground to protect Hamas!,0
@muhammadshehad2,"2\ Refaat taught poetry & english literature; he taught Harry Potter, Shakespeare, Tomas Wyatt, John Donne, Elizabeth Barrett Browning, Wilfred Owen, T. S. Eliot...  He edited 2 books to raise our voice to the world: ""Gaza Unsilenced"" & ""Gaza Writes Back""  He was full of life!",6818
@1b2_r,"This footage is from northern Gaza, not Khan Yunis, and these are civilians who were kidnapped from an UNRWA shelter",597
@GazaMartyrs,"The martyr Heba Al-Hamarna, aged 28...  A teacher who established a private center, she dreamt of traveling and seeing the world beyond the borders of Gaza. She was an activist in human rights organizations and involved in organizing summer activities for children.  her friend said:""She loved the sea a lot and enjoyed writing. She was always laughing and smiling, the one who brought friends together. She loved going out and taking walks. She stood by everyone in everything, and in every situation, she was a support.""  She was martyred in an Israeli airstrike on the Al-Hamarna family home on December 1, 2023.",3367
@NimraMushtaq10,"Natenyahu is a fuc*ing murderer, a psychopath and a maniac. May he rot in hell along with his allies❌🖐️🇮🇱🇺🇸🤬🖐️  #أبوعبيدة #Gaza #FreePalestine #FreePalestineFromIsraeI #Gaza_Geniocide #Gaza_Geniocide #IsraeliLies #IsraelTerorrist #IsraelApartheidState",0
@saidshoaib_gaza,Waiting to get flour from the #UNRWA distribution centre.   #Gaza,6961
@MuhammadSmiry,A citizen from central Gaza says:  ‘This is the only amount of food that we have received as an entire family in three days in the school.’,13748
@StellarVoyager1,"No assclown he joked about an obviously bullshit story. It was akin to mocking the ""Bowling Green Massacre"". But there are babies being murdered for real in Gaza, every day. I guess since Refaat made a joke you didn't like then they all deserve to die? Disgusting",0
@tparsi,"Biden can put a stop to this slaughter of children in Gaza. It is not that he doesn't have the leverage to stop Israel.  It's that he doesn't want to pay the political cost of using that leverage.  Thus, more babies who have nothing to do with this will be slaughtered.",17297
@jennineak,"less than two years ago everything turned blue and yellow overnight. every website I went to, every logo, every app, every institution. billboards, light displays. blue and yellow for ukraine. blue and yellow. and for palestine, for gaza, just darkness",1196
@smilectics,"""Our people's firm and permanent choice is comprehensive resistance to this Nazi zionist occupation, which is hostile to all religions and moral and civilizational value""   Hamas press conference held on the 62nd day of the zionist aggression against Gaza (1/2, via RNN):",1
@fatimazsaid,Horrifying eyewitness reports coming out from Gaza that the Israeli army is gathering unarmed men and boys and carrying out summary executions while forcing their families to watch.  This is Srebrenica all over again.,1570
@SyedaaAiman,The girl lost her family by Israeli bombardment in Gaza. 💔,481
@ChayaRaichik10,Who wants to chip in with me for her plane ticket to Gaza to trade places with one of the hostages? She really wants to be a hostage of Hamas,2471
@_ZachFoster,"If you are Palestinian & you call for an ""uprising,"" you are accused of calling for genocide.  If you are Israeli & you say, ""The enemy is Amalek,"" (i.e. kill every man, woman, child & ox) in Gaza & then you kill 16,000 Palestinians in 2 months, u ""have a right to self-defense.""",18992
@SkyNews,"Israel has claimed it has created shelters with aid organisations in al Mawasi, a 'safe zone' in the south of Gaza.   A Sky News team visited and found no aid, no food kitchens and no help.  https://trib.al/POsEkcz",16401
@hamnazaman2,Israeli soldiers arrested little kids of Palestine 💔 they are terrified #FreePalestine #Israel #cease_fire_now #Gaza #WarCrimes #viralvideo,7
@MintPressNews,"“I wish I could say the same as my Ukrainian colleague told you... when it came to Palestine, you call it a conflict. It’s a genocide.”  A Palestinian speaker highlights the complicity of the West in supporting Israel's genocide in Gaza at the 25th EU-NGO Forum on Human Rights today in Brussels, Belgium.",9007
@QudsNen,"""What should we do? drown? commit mass suicide, is that what Israel wants?""  These are the sentiments expressed by Dr. Rafaat al-Araeer concerning the heinous crimes committed by Israel against Palestinians in Gaza.  May Dr. Rafaat rest in peace.",900
@ghadaoueiss,1: Nazi Germany  2: Gaza Today,25660
@taraxrh,You wrote an article on October 11th after almost 1000 Palestinians in Gaza had been killed demonising Palestinian resistance and not even saying the word Palestine or Palestinian once. You quietly edited it after you (rightfully) got backlash for your stupid piece. You don’t get to grieve or be “sickened by his loss”,4693
@TheoAnonis,"-Six year old child stabbed to death because he was Palestinian.  - Three Palestinian students shot because they were Palestinian.  17,000 (and counting) Palestinians in Gaza murdered including 5,000+ children.  Spare me the outrage.",0
@AbbasBilgrami21,NO LEADER OF ANY MUSLIM COUNTRY HAD THE GUTS TO SAY WHAT LIKE THIS MEMBER OF UK HOUSE OF LORDS.                                                                He Nailed Isreal Within Four Minutes. Let's Make This Video Go Viral! #Gaza_Geniocide,161
@HilzFuld,"Thank you Hashem for letting the Jewish people start Hanukah with a smile thanks to this mass surrender of Hamas terrorists in Gaza. This should be the first of many! Thank you, IDF! 🙏🇮🇱💪❤️",18948
