Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",𝘊𝘰𝘳𝘳𝘪𝘯𝘦,https://x.com/OopsGuess,OopsGuess,False,2023-10-07 09:09:00+00:00,False,"The young devastated Palestinian girl telling the Israeli occupiers to ""go to hell"" after they demolished her family's home in the occupied West Bank. She reveals that after returning home after school she found bulldozers demolishing her house and her family standing outside. https://t.co/ZsPS2InVrh",1710582989653254522,https://x.com/OopsGuess/status/1710582989653254522,51,845,1530,182082,383,https://pbs.twimg.com/amplify_video_thumb/1710582925685846016/img/Jnb56QGX2dUuRwI-.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Daniel Haqiqatjou,https://x.com/Haqiqatjou,Haqiqatjou,True,2023-10-07 18:22:24+00:00,False,"The terror state of Israel has been ethnically cleansing Palestinians for 75 years.

Here is data for just a 12 year time frame. https://t.co/Eh5dFpDuP5",1710722255427141815,https://x.com/Haqiqatjou/status/1710722255427141815,230,3318,8051,480737,299,https://pbs.twimg.com/media/F72002UWIAAL8G8.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Let's make the russians poor!,https://x.com/KorsasErik,KorsasErik,False,2023-10-07 23:59:53+00:00,False,"The flag of #Israel at the #Brandenburg Gate in the center of #Berlin.

#IsraelUnderAttack #Israel_under_attack #IsraelAtWar #IsraeliOccupation #IsraelUnderFire #Hamas #PalestineUnderAttack #Palestinian #Palestina #PalestineIsraelwar #WorldWar3 #Hezbollah #Iran #Putin #Gaza https://t.co/bvA3Whgdcs",1710807188128583714,https://x.com/KorsasErik/status/1710807188128583714,1,0,2,1765,1,https://pbs.twimg.com/media/F74CEjpWwAA2rnX.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Proper MIDDLEMAN,https://x.com/ProperMIDDLEMAN,ProperMIDDLEMAN,True,2023-10-07 23:59:58+00:00,False,"Mitchell Robinson working on his free throws. 
 https://t.co/yZ8qtcu96l",1710807207674077465,https://x.com/ProperMIDDLEMAN/status/1710807207674077465,0,0,4,393,0,https://pbs.twimg.com/amplify_video_thumb/1710759469679087616/img/NBn_4jSolpbiOI0J.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",𝖉𝖊𝖒𝖔𝖓 😈 🍥△,https://x.com/NafoOnline,NafoOnline,True,2023-10-07 16:37:41+00:00,False,"🇮🇱 Israel working on the elimination of hamas from the gaza strip.
this is the hamas' own doing - they're a terrorist group fighting for their own benefit and for the benefit of the iran-russia axis, not the people of palestine. https://t.co/SntKVLRf5t",1710695906230583353,https://x.com/NafoOnline/status/1710695906230583353,22,47,247,62270,25,https://pbs.twimg.com/ext_tw_video_thumb/1710695236714778624/pu/img/rQr2tGIFN-FWfoTX.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",StandWithUs,https://x.com/StandWithUs,StandWithUs,True,2023-10-07 20:07:36+00:00,False,"🚨*11pm (IL time) update*🚨

- Since 6:30am (IL time), there has been an incessant barrage of rockets - over 3,000 (and counting) - fired towards #Israel from the #Gaza Strip. Direct hits in central and southern Israel. 
- #Palestinian terrorists infiltrated into southern https://t.co/FFLmkRRbQC",1710748733338489052,https://x.com/StandWithUs/status/1710748733338489052,12,112,194,22111,4,https://pbs.twimg.com/media/F73MgkEWMAAQ0Vw.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Producer Squishy Squishy,https://x.com/ProducerSquishy,ProducerSquishy,False,2023-10-07 23:59:39+00:00,False,Palestine and Israel discourse on the timeline between ai photos and gay p8rn. This is a nightmare! https://t.co/9H3VHrot0A,1710807127332401533,https://x.com/ProducerSquishy/status/1710807127332401533,0,0,0,443,0,https://pbs.twimg.com/media/F74CA6wbMAAtu73.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Amit Rakksshit 🇮🇳,https://x.com/amitrakshitbjp,amitrakshitbjp,False,2023-10-07 07:39:46+00:00,False,"Concerning..!! 

Israel's under a 26/11-style attack! The @IDF has declared a state of conflict after a major Hamas assault from Gaza. Over 5,000 rockets launched, 50+ Israeli lives lost, and 30 individuals captured. 

In solidarity with Israel &amp; it's citizens in this fight https://t.co/dfkoFIxlyp",1710560534188429604,https://x.com/amitrakshitbjp/status/1710560534188429604,0,38,42,1976,0,https://pbs.twimg.com/ext_tw_video_thumb/1710560493989974016/pu/img/cCt2siSv5H8yf2wq.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Talentosprecato,https://x.com/talentosprecato,talentosprecato,False,2023-10-07 23:59:56+00:00,False,"They scream: God is Great.
#Palestianian Terrorists
#Hamas #Israel https://t.co/F45AWLYs9u",1710807201932083463,https://x.com/talentosprecato/status/1710807201932083463,0,0,1,980,0,https://pbs.twimg.com/media/F74CBNYXYAA2iwb.png,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Leshuan Dinglenut(follows back),https://x.com/Broyoyoyo12345,Broyoyoyo12345,False,2023-10-07 23:59:31+00:00,False,Making montages like this first 5 people who send 5-10 clips get free then 5$ PayPal or 400 robux https://t.co/640dyweyGG,1710807094742614090,https://x.com/Broyoyoyo12345/status/1710807094742614090,0,0,0,96,0,https://pbs.twimg.com/ext_tw_video_thumb/1710806447347605504/pu/img/hg5sTaOC_B1cqynx.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",amanae 🤍,https://x.com/_farronhart,_farronhart,False,2023-10-07 23:59:59+00:00,False,"#XIVBlacktober2023 Day 7 — Free Day

I just wanted to use their SHB fit for once 🫶🏾 https://t.co/vLUDBaSNqL",1710807214187839902,https://x.com/_farronhart/status/1710807214187839902,4,6,26,707,0,https://pbs.twimg.com/media/F74BPT4W4AAujPA.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",BCEdAccess,https://x.com/BCEdAccess,BCEdAccess,False,2023-10-07 23:59:53+00:00,False,"URGENT! #AdvoCon2023 (Oct 19-22) needs volunteers both online and in person. Please email tracy@bcedaccess.com to access the schedule - at least 4 hrs = free ticket! Roles:
Support presenters, elder, exhibitors, mealtimes
Zoom support
Active listeners
Registration, sales
+ more https://t.co/nbAFmyYenZ",1710807189655286202,https://x.com/BCEdAccess/status/1710807189655286202,0,5,3,1242,0,https://pbs.twimg.com/media/F74CEmdWQAAD1G1.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Dalia,https://x.com/DaliaNewYork,DaliaNewYork,False,2023-10-07 23:59:36+00:00,False,"Aggression started by settlers and Israeli forces murdering innocent Palestinians Labib Dmeidi, Abdel Rahman Ata &amp; Huthaifa Faris, Muhammad Rummana, and Jamil Majthoub #Saytheirnames  #IsraeliCrimes #Palestine #طوفان_الأقصى #Israel https://t.co/bHKk4YpH2W",1710807114539524496,https://x.com/DaliaNewYork/status/1710807114539524496,0,3,3,1785,0,https://pbs.twimg.com/media/F74B__uWEAA6lS1.jpg;https://pbs.twimg.com/media/F74CAGZW8AADDNS.jpg;https://pbs.twimg.com/media/F74CANKWsAASyrA.jpg;https://pbs.twimg.com/media/F74CAUCWMAEp99A.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",StandWithUs,https://x.com/StandWithUs,StandWithUs,True,2023-10-07 18:04:46+00:00,False,"🚨9pm (IL time) update🚨

- Since 6:30am (IL time), there has been an incessant barrage of rockets - over 3,000 (and counting) - fired towards Israel from the Gaza Strip. Direct hits in central and southern Israel. 
- Palestinian terrorists infiltrated into southern Israeli https://t.co/exmlSzebRK",1710717821003370593,https://x.com/StandWithUs/status/1710717821003370593,56,201,476,113718,4,https://pbs.twimg.com/media/F72wjfcXgAADeCz.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",StandWithUs,https://x.com/StandWithUs,StandWithUs,True,2023-10-07 15:11:15+00:00,False,"🚨The IDF declares a state of war alert🚨

6pm (IL time) update
- Since 6:30am (IL time), there has been an incessant barrage of rockets - over 3,000 (and counting) - fired towards Israel from the Gaza Strip. Direct hits in central and southern Israel. 
- Palestinian terrorists https://t.co/YCpuaV5pKM",1710674153945116737,https://x.com/StandWithUs/status/1710674153945116737,14,115,200,20537,3,https://pbs.twimg.com/media/F72JDO0WIAAPLVF.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Clash Report,https://x.com/clashreport,clashreport,True,2023-10-07 09:52:20+00:00,False,"April 9, 1948... 254 Palestinian civilians were brutally massacred in the village of Deir Yassin by the Zionist Irgun terrorist organization.
Houses were burned down. Every living being in the village, whether human or animal, was lined up and shot. Their bodies were thrown into https://t.co/sD0N1utx30",1710593895774454147,https://x.com/clashreport/status/1710593895774454147,90,613,1136,164454,92,https://pbs.twimg.com/media/F70_WfDWsAAHZbX.jpg;https://pbs.twimg.com/media/F70_ZwgXUAAu48E.png;https://pbs.twimg.com/media/F70_wfrXgAAcf-O.png;https://pbs.twimg.com/media/F70_25eWYAA_iXT.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",StandWithUs,https://x.com/StandWithUs,StandWithUs,True,2023-10-07 17:12:58+00:00,False,"🚨The IDF declares a state of war alert🚨

8pm (IL time) update
- Since 6:30am (IL time), there has been an incessant barrage of rockets - over 3,000 (and counting) - fired towards Israel from the Gaza Strip. Direct hits in central and southern Israel. 
- Palestinian terrorists https://t.co/uFrovy4jrM",1710704783823188075,https://x.com/StandWithUs/status/1710704783823188075,30,199,473,51711,5,https://pbs.twimg.com/media/F72k6v2XIAEetM1.jpg,False,,,,,en
